Date,volume
2017-12-07,3800432531.580915
2017-12-08,2195860926.731846
2017-12-09,2539286892.7016764
2017-12-10,2487997751.019463
2017-12-11,1992977378.0013492
2017-12-12,2027550684.5009563
2017-12-13,610207126.6876411
2017-12-14,2066395216.5763328
2017-12-15,1636509991.671891
2017-12-16,1641066517.685792
2017-12-17,2021140821.0929716
2017-12-18,2215330000.929072
2017-12-19,2752775707.1146574
2017-12-20,1989091729.4332354
2017-12-21,5352015515.542298
2017-12-22,1967536506.4005926
2017-12-23,1798168177.648421
2017-12-24,1134112808.2412252
2017-12-25,1745062014.3506472
2017-12-26,1619268857.168229
2017-12-27,1883494461.4293745
2017-12-28,1274049463.7163732
2017-12-29,1728481566.8689675
2017-12-30,1142728354.646587
2017-12-31,744866630.5094119
2018-01-01,1567582731.903526
2018-01-02,1138506779.2035935
2018-01-03,1371803859.924131
2018-01-04,1764169571.11057
2018-01-05,1024721001.2487963
2018-01-06,946406884.7515358
2018-01-07,1742246003.5464456
2018-01-08,1182426648.294293
2018-01-09,1634548780.4014
2018-01-10,1663185737.5560942
2018-01-11,1014053986.1381412
2018-01-12,740504186.9595935
2018-01-13,804914641.6120825
2018-01-14,758546178.5825682
2018-01-15,2762626868.9217606
2018-01-16,2926596198.2111597
2018-01-17,1771113579.4696858
2018-01-18,1064413369.5978014
2018-01-19,1097313787.3573146
2018-01-20,436195518.92766696
2018-01-21,1210203940.8799615
2018-01-22,1305109027.9785473
2018-01-23,921820890.74857
2018-01-24,772706342.7640659
2018-01-25,1135179206.750647
2018-01-26,763094646.009555
2018-01-27,738104166.8668789
2018-01-28,611119735.3108903
2018-01-29,1266284116.12824
2018-01-30,933239777.885645
2018-01-31,1509688358.173765
2018-02-01,2213436748.092759
2018-02-02,952403804.977636
2018-02-03,1080682794.7357142
2018-02-04,1793319477.2540278
2018-02-05,3094258118.1919785
2018-02-06,1670287563.7429032
2018-02-07,1336661910.5091228
2018-02-08,1093134650.4219353
2018-02-09,918540174.4693165
2018-02-10,796391653.708568
2018-02-11,836623674.3131925
2018-02-12,188454378.60299003
2018-02-13,915165499.846264
2018-02-14,1282426210.891208
2018-02-15,866501985.7084646
2018-02-16,973554319.9083946
2018-02-17,1377347061.4161527
2018-02-18,1020588579.3383632
2018-02-19,1258473015.5963838
2018-02-20,1601103155.9094486
2018-02-21,1395055528.707782
2018-02-22,1156539785.8885357
2018-02-23,814952720.426771
2018-02-24,619244270.7229553
2018-02-25,982054724.8043953
2018-02-26,820239742.1576885
2018-02-27,871257587.9600855
2018-02-28,790675903.7454846
2018-03-01,673860238.90624
2018-03-02,663520514.0089278
2018-03-03,542742758.5116323
2018-03-04,652061173.890632
2018-03-05,969993576.7318369
2018-03-06,1355596866.815812
2018-03-07,1231498466.0360353
2018-03-08,1735625689.9003196
2018-03-09,870115563.806644
2018-03-10,1205268901.9546967
2018-03-11,1145556674.728174
2018-03-12,1013634517.5790632
2018-03-13,1157902505.0164309
2018-03-14,1315209565.0947168
2018-03-15,771954415.4188056
2018-03-16,711706325.7031032
2018-03-17,1270330308.3404047
2018-03-18,1183523625.1592457
2018-03-19,968836842.5813378
2018-03-20,770717053.190813
2018-03-21,826892556.9047964
2018-03-22,734259108.9042656
2018-03-23,638996171.2272326
2018-03-24,497976127.7519874
2018-03-25,898113449.0403993
2018-03-26,706985634.7361835
2018-03-27,526257701.60659367
2018-03-28,1093751115.3311026
2018-03-29,1352337905.1215136
2018-03-30,754226245.4255953
2018-03-31,722273399.9422678
2018-04-01,607508836.2282234
2018-04-02,750173781.591549
2018-04-03,678823367.2390053
2018-04-04,609341543.7440615
2018-04-05,462008926.0509123
2018-04-06,182056053.35506067
2018-04-07,326416046.9776088
2018-04-08,753187037.3023131
2018-04-09,315236593.3233505
2018-04-10,307821267.9258925
2018-04-11,1299643867.9862459
2018-04-12,926851085.0818262
2018-04-13,436167916.73280394
